date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:08:32	121/121	---MCZ	200	added ('OK')	text/plain	etag:W/%2267603e5d-7a%22	https://www.squeeze-template.com/robots.txt		(from )
08:08:32	15123/15123	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Dec%202024%2014:51:09%20GMT	https://www.squeeze-template.com/	C:/My%20Web%20Sites/squeeze/www.squeeze-template.com/index.html	(from )
08:08:32	3187/3187	---M-Z	200	added ('OK')	application/json	etag:W/%2267603e5d-c73%22	https://www.squeeze-template.com/public/assets/manifest.json	C:/My%20Web%20Sites/squeeze/www.squeeze-template.com/public/assets/manifest.json	(from https://www.squeeze-template.com/)
08:08:33	16145/16145	---M-Z	200	added ('OK')	text/css	etag:W/%2267603e5d-3f11%22	https://www.squeeze-template.com/public/assets/css/common.css	C:/My%20Web%20Sites/squeeze/www.squeeze-template.com/public/assets/css/common.css	(from https://www.squeeze-template.com/)
08:08:33	7573/7573	---M-Z	200	added ('OK')	text/css	etag:W/%2267603e5d-1d95%22	https://www.squeeze-template.com/public/assets/css/home.css	C:/My%20Web%20Sites/squeeze/www.squeeze-template.com/public/assets/css/home.css	(from https://www.squeeze-template.com/)
08:08:34	117521/117521	---M-Z	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%2267603e5d-1cb11%22	https://www.squeeze-template.com/public/assets/images/favicon.ico	C:/My%20Web%20Sites/squeeze/www.squeeze-template.com/public/assets/images/favicon.ico	(from https://www.squeeze-template.com/)
08:08:34	196398/196398	---M--	200	added ('OK')	text/javascript	etag:5753378772891478348	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js?client=ca-pub-9017953896997482	C:/My%20Web%20Sites/squeeze/pagead2.googlesyndication.com/pagead/js/fff04.txt	(from https://www.squeeze-template.com/)
08:08:35	4333/4333	---M--	200	added ('OK')	image/png	etag:%22vc3%22	https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEj5ViOjXtHGOvaZsj1kVQfYStVrZcAr5KAIPoQYkw6PYg3pH2ctSgzOLwxyOP3HjAWKge-rprL9efoeeBi8EVRsF6M7D78Wk9xGoe3G69ApX7Gzp2rmFtOEc1qbQpCbbI3IvFNNbR8fKig/h106/SqueezeLogo.png	C:/My%20Web%20Sites/squeeze/blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEj5ViOjXtHGOvaZsj1kVQfYStVrZcAr5KAIPoQYkw6/h106/SqueezeLogo.png	(from https://www.squeeze-template.com/)
08:08:35	62579/62579	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Dec%202024%2014:51:09%20GMT	https://www.squeeze-template.com/documentation	C:/My%20Web%20Sites/squeeze/www.squeeze-template.com/documentation.html	(from https://www.squeeze-template.com/)
08:08:35	23684/23684	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Dec%202024%2014:51:09%20GMT	https://www.squeeze-template.com/faq	C:/My%20Web%20Sites/squeeze/www.squeeze-template.com/faq.html	(from https://www.squeeze-template.com/)
08:08:35	16144/16144	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Dec%202024%2014:51:09%20GMT	https://www.squeeze-template.com/updates	C:/My%20Web%20Sites/squeeze/www.squeeze-template.com/updates.html	(from https://www.squeeze-template.com/)
08:08:36	11875/11875	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Dec%202024%2014:51:09%20GMT	https://www.squeeze-template.com/clients	C:/My%20Web%20Sites/squeeze/www.squeeze-template.com/clients.html	(from https://www.squeeze-template.com/)
08:08:36	19545/19545	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Dec%202024%2014:51:09%20GMT	https://www.squeeze-template.com/free	C:/My%20Web%20Sites/squeeze/www.squeeze-template.com/free.html	(from https://www.squeeze-template.com/)
08:08:36	12916/12916	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Dec%202024%2014:51:09%20GMT	https://www.squeeze-template.com/merger	C:/My%20Web%20Sites/squeeze/www.squeeze-template.com/merger.html	(from https://www.squeeze-template.com/)
08:08:36	1155/1155	---M--	200	added ('OK')	image/png	date:Sun,%2016%20Feb%202025%2021:51:38%20GMT	https://draft.blogger.com/img/blogger-logotype-color-black-1x.png	C:/My%20Web%20Sites/squeeze/draft.blogger.com/img/blogger-logotype-color-black-1x.png	(from https://www.squeeze-template.com/)
08:08:37	414/414	---M--	200	added ('OK')	image/png	etag:%22v146%22	https://2.bp.blogspot.com/-_2vaXVh6ez0/Wxcc2Rd5nFI/AAAAAAAAAUU/IwL1dspVpQcbcCq3dMHhP3exjbiskheqACLcBGAs/s320/flag.png	C:/My%20Web%20Sites/squeeze/2.bp.blogspot.com/-_2vaXVh6ez0/Wxcc2Rd5nFI/AAAAAAAAAUU/IwL1dspVpQcbcCq3dMHhP3exjbiskheqACLcBGAs/s320/flag.png	(from https://www.squeeze-template.com/)
08:08:38	10749/10749	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Dec%202024%2014:51:09%20GMT	https://www.squeeze-template.com/about	C:/My%20Web%20Sites/squeeze/www.squeeze-template.com/about.html	(from https://www.squeeze-template.com/)
08:08:38	15006/15006	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Dec%202024%2014:51:09%20GMT	https://www.squeeze-template.com/privacy	C:/My%20Web%20Sites/squeeze/www.squeeze-template.com/privacy.html	(from https://www.squeeze-template.com/)
08:08:39	3357/3357	---M-Z	200	added ('OK')	application/javascript	etag:W/%2267603e5d-d1d%22	https://www.squeeze-template.com/public/assets/js/common.js	C:/My%20Web%20Sites/squeeze/www.squeeze-template.com/public/assets/js/common.js	(from https://www.squeeze-template.com/)
08:08:39	265/265	---M-Z	200	added ('OK')	application/javascript	etag:W/%2267603e5d-109%22	https://www.squeeze-template.com/public/assets/js/home.js	C:/My%20Web%20Sites/squeeze/www.squeeze-template.com/public/assets/js/home.js	(from https://www.squeeze-template.com/)
08:08:39	92629/92629	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ec4-169d5%22	https://cdnjs.cloudflare.com/ajax/libs/jquery/1.9.1/jquery.min.js	C:/My%20Web%20Sites/squeeze/cdnjs.cloudflare.com/ajax/libs/jquery/1.9.1/jquery.min.js	(from https://www.squeeze-template.com/)
